ORMS Business Unit Lvl 1,ORMS Business Unit Lvl 2,Risk Classification Level 1,Risk Classification Level 2,Inherent Risk Rating Final,Residual Risk Rating Final,Root Cause Classification Level 1,Root Cause Classification Level 2,ERIC Risk Number,Risk Statement,Risk Owner,Risk Status,ERIC Control Number,Control Environment Rating,Control Name,RCM Control Identifier,Key Control,Most Recent Published CA Conclusion,SOX Control
Private Banking Operations,Discretionary Portfolio Ops,Tax Risk,Withholding Errors,High,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05021,"Risk of incorrect tax calculation, reporting, or remittance.",Skyler Linwood,Active,ERIC-C-01021,Needs Improvement,Withholding Tax Calculation,RCM-89457,Yes,Effective,N
Private Banking Operations,Discretionary Portfolio Ops,Tax Risk,Withholding Errors,High,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05021,"Risk of incorrect tax calculation, reporting, or remittance.",Jordan Quintero,Active,ERIC-C-01020,Adequate,FATCA/CRS Indicia Review,RCM-13617,No,Effective with Exceptions,N
Private Banking Operations,Custody Services,Information Technology Risk,Cyber Risk,High,High,External Event,External fraud - digital,ERIC-R-05022,"Risk that IT systems fail, are unavailable, or are compromised.",Sage Devereux,Active,ERIC-C-01018,Adequate,IT Access Quarterly Review,RCM-97806,No,Ineffective,N
Asset Servicing,Physical Certificates,Regulatory Compliance Risk,MIFID/CRM2 Compliance,Low,Low,Process Failure,Inadequate execution of processes,ERIC-R-05023,Risk that operational activities fail to meet regulatory reporting or conduct requirements.,Skyler Holloway,Closed,ERIC-C-01015,Adequate,Regulatory Reporting Sign-off,RCM-27146,Yes,Effective with Exceptions,N
Private Banking Operations,Custody Services,Information Technology Risk,Application Failure,High,Medium,Process Failure,Ineffective development or testing,ERIC-R-05024,"Risk that IT systems fail, are unavailable, or are compromised.",Reese Caldera,Active,ERIC-C-01018,Adequate,IT Access Quarterly Review,RCM-97806,No,Effective,N
Private Banking Operations,Lending Operations,Information Management Risk,Data Quality,Medium,Low,Process Failure,Ineffective development or testing,ERIC-R-05025,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Morgan Asher,Active,ERIC-C-01001,Strong,Account Transfer Verification,RCM-84364,Yes,Effective,N
Private Banking Operations,Lending Operations,Information Management Risk,Data Quality,Medium,Low,Process Failure,Ineffective development or testing,ERIC-R-05025,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Reese Eastwick,Active,ERIC-C-01022,Strong,Critical Date Report Pre-open,RCM-97062,No,Adequate,N
Private Banking Operations,Lending Operations,Information Management Risk,Data Quality,Medium,Low,Process Failure,Ineffective development or testing,ERIC-R-05025,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Hayden Underhill,Active,ERIC-C-01018,Adequate,IT Access Quarterly Review,RCM-97806,No,Effective with Exceptions,N
Asset Servicing,Mandatory Events,Fraud Risk,Internal Fraud,Medium,Medium,People Failure,Clerical errors or miscommunication of instructions,ERIC-R-05026,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Avery Yablonski,Active,ERIC-C-01025,Strong,Physical Cert Chain-of-Custody Log,RCM-22240,No,Ineffective,N
Asset Servicing,Mandatory Events,Fraud Risk,Internal Fraud,Medium,Medium,People Failure,Clerical errors or miscommunication of instructions,ERIC-R-05026,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Jordan Quintero,Under Review,ERIC-C-01004,Strong,Wire Payment Maker-Checker,RCM-53309,Yes,Adequate,Y
Asset Servicing,Mandatory Events,Fraud Risk,Internal Fraud,Medium,Medium,People Failure,Clerical errors or miscommunication of instructions,ERIC-R-05026,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Parker Grenville,Active,ERIC-C-01014,Needs Improvement,Vault Access Authorization,RCM-89276,Yes,Effective with Exceptions,Y
Asset Servicing,Mandatory Events,Legal Risk,Documentation Gaps,Medium,Low,Third Party Failure,Third party supplier,ERIC-R-05027,Risk that contractual or documentation gaps result in litigation or unenforceability.,Parker Grenville,Active,ERIC-C-01005,Adequate,Trade Confirmation Match,RCM-66498,Yes,Adequate,Y
Asset Servicing,Mandatory Events,Legal Risk,Documentation Gaps,Medium,Low,Third Party Failure,Third party supplier,ERIC-R-05027,Risk that contractual or documentation gaps result in litigation or unenforceability.,Quinn Asher,Active,ERIC-C-01003,Strong,Sanctions Screening Daily,RCM-42493,Yes,Effective,N
Asset Servicing,Mandatory Events,Legal Risk,Documentation Gaps,Medium,Low,Third Party Failure,Third party supplier,ERIC-R-05027,Risk that contractual or documentation gaps result in litigation or unenforceability.,Skyler Holloway,Under Review,ERIC-C-01009,Adequate,Optional Dividend Election Cutoff,RCM-51104,No,Effective with Exceptions,Y
Private Banking Operations,Custody Services,Information Management Risk,Records Retention,Medium,Medium,Process Failure,Poor implementation or change management,ERIC-R-05028,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Morgan Zerafa,Active,ERIC-C-01023,Adequate,Reorg Expiry 2BD Pre-Issuer Check,RCM-26683,No,Effective,Y
Direct Investing Operations,Statements & Confirms,Processing & Execution Risk,Settlement Failures,Low,Low,Process Failure,Ineffective development or testing,ERIC-R-05029,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Emerson Karthik,Active,ERIC-C-01006,Adequate,Client Statement QA Review,RCM-80292,Yes,Ineffective,Y
Direct Investing Operations,Statements & Confirms,Processing & Execution Risk,Settlement Failures,Low,Low,Process Failure,Ineffective development or testing,ERIC-R-05029,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Reese Eastwick,Active,ERIC-C-01022,Needs Improvement,Critical Date Report Pre-open,RCM-97062,No,Not Yet Concluded,N
Direct Investing Operations,Statements & Confirms,Processing & Execution Risk,Reconciliation Failures,Low,Low,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05030,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Parker Marchetti,Active,ERIC-C-01008,Needs Improvement,Mandatory CA Entitlement Recon,RCM-65444,No,Effective with Exceptions,N
Direct Investing Operations,Statements & Confirms,Processing & Execution Risk,Reconciliation Failures,Low,Low,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05030,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Emerson Trevelyan,Active,ERIC-C-01009,Strong,Optional Dividend Election Cutoff,RCM-51104,No,Not Yet Concluded,Y
Asset Servicing,Entitlements,Money Laundering Risk,Transaction Monitoring Gaps,Medium,Medium,External Event,External fraud - digital,ERIC-R-05031,Risk that the firm facilitates money laundering or terrorist financing.,Sage Okafor,Active,ERIC-C-01002,Adequate,KYC Due Diligence Review,RCM-89507,Yes,Effective,N
Asset Servicing,Entitlements,Money Laundering Risk,Transaction Monitoring Gaps,Medium,Medium,External Event,External fraud - digital,ERIC-R-05031,Risk that the firm facilitates money laundering or terrorist financing.,Quinn Linwood,Active,ERIC-C-01003,Needs Improvement,Sanctions Screening Daily,RCM-42493,Yes,Effective,N
Wealth Management Operations,Client Onboarding,Processing & Execution Risk,Settlement Failures,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05032,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Taylor Nakatani,Under Review,ERIC-C-01010,Adequate,Fee Billing Calculation Review,RCM-40828,No,Effective,Y
Wealth Management Operations,Client Onboarding,Processing & Execution Risk,Settlement Failures,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05032,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Quinn Velazquez,Active,ERIC-C-01006,Adequate,Client Statement QA Review,RCM-80292,Yes,Effective,Y
Wealth Management Operations,Client Onboarding,Processing & Execution Risk,Settlement Failures,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05032,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Sage Yablonski,Active,ERIC-C-01023,Needs Improvement,Reorg Expiry 2BD Pre-Issuer Check,RCM-26683,No,Effective,Y
Asset Servicing,Mandatory Events,Information Management Risk,Records Retention,High,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05033,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Phoenix Rasmussen,Active,ERIC-C-01021,Strong,Withholding Tax Calculation,RCM-89457,Yes,Effective with Exceptions,N
Asset Servicing,Mandatory Events,Information Management Risk,Records Retention,High,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05033,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Remy Marchetti,Active,ERIC-C-01014,Strong,Vault Access Authorization,RCM-89276,Yes,Effective,Y
Private Banking Operations,Custody Services,Privacy Risk,Privacy Incident Mgmt,High,Low,External Event,External fraud - digital,ERIC-R-05034,Risk of unauthorized disclosure of personal or confidential client information.,Morgan Asher,Under Review,ERIC-C-01016,Adequate,Privacy Incident Triage,RCM-82420,Yes,Effective,N
Asset Servicing,Voluntary Events,People Risk,Inadequate Training,High,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05035,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Reese Eastwick,Active,ERIC-C-01025,Needs Improvement,Physical Cert Chain-of-Custody Log,RCM-22240,No,Effective with Exceptions,N
Asset Servicing,Voluntary Events,People Risk,Inadequate Training,High,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05035,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Drew Velazquez,Active,ERIC-C-01024,Strong,Bond Maturity Cash Receipt Verify,RCM-86019,Yes,Effective with Exceptions,N
Asset Servicing,Voluntary Events,People Risk,Inadequate Training,High,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05035,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Emerson Karthik,Active,ERIC-C-01022,Strong,Critical Date Report Pre-open,RCM-97062,No,Effective,N
Capital Markets Operations,Equity Settlements,Money Laundering Risk,Transaction Monitoring Gaps,High,Medium,Process Failure,Poor implementation or change management,ERIC-R-05036,Risk that the firm facilitates money laundering or terrorist financing.,Remy Marchetti,Closed,ERIC-C-01003,Strong,Sanctions Screening Daily,RCM-42493,Yes,Effective,N
Capital Markets Operations,Equity Settlements,Money Laundering Risk,Transaction Monitoring Gaps,High,Medium,Process Failure,Poor implementation or change management,ERIC-R-05036,Risk that the firm facilitates money laundering or terrorist financing.,Avery Yablonski,Active,ERIC-C-01002,Strong,KYC Due Diligence Review,RCM-89507,Yes,Not Yet Concluded,N
Direct Investing Operations,Statements & Confirms,Financial Reporting Risk,Journal Entry Errors,Medium,Low,People Failure,Clerical errors or miscommunication of instructions,ERIC-R-05037,Risk that financial records or reports are materially misstated.,Taylor Caldera,Active,ERIC-C-01011,Adequate,Control Account Daily Reconciliation,RCM-44179,No,Effective,Y
Direct Investing Operations,Statements & Confirms,Financial Reporting Risk,Journal Entry Errors,Medium,Low,People Failure,Clerical errors or miscommunication of instructions,ERIC-R-05037,Risk that financial records or reports are materially misstated.,Remy Iversen,Active,ERIC-C-01012,Adequate,Journal Entry Approval,RCM-23104,Yes,Not Yet Concluded,Y
Private Banking Operations,Custody Services,Third Party Risk,Subcontractor Risk,High,High,External Event,Accidental damage or disruption,ERIC-R-05038,Risk arising from dependence on external vendors or service providers.,Avery Yablonski,Active,ERIC-C-01017,Needs Improvement,Third-Party Performance Monitoring,RCM-63264,No,Effective with Exceptions,N
Wealth Management Operations,Corporate Actions,People Risk,Key Person Dependency,High,Medium,Process Failure,Ineffective development or testing,ERIC-R-05039,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Riley Marchetti,Active,ERIC-C-01012,Adequate,Journal Entry Approval,RCM-23104,Yes,Not Yet Concluded,Y
Wealth Management Operations,Corporate Actions,People Risk,Key Person Dependency,High,Medium,Process Failure,Ineffective development or testing,ERIC-R-05039,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Parker Grenville,Active,ERIC-C-01022,Adequate,Critical Date Report Pre-open,RCM-97062,No,Effective,N
Private Banking Operations,Discretionary Portfolio Ops,Third Party Risk,Vendor Oversight,Medium,Medium,System Failure,Technology failure,ERIC-R-05040,Risk arising from dependence on external vendors or service providers.,Parker Yablonski,Active,ERIC-C-01017,Needs Improvement,Third-Party Performance Monitoring,RCM-63264,No,Effective,N
Direct Investing Operations,Account Maintenance,Privacy Risk,Unauthorized Disclosure,High,High,External Event,Accidental damage or disruption,ERIC-R-05041,Risk of unauthorized disclosure of personal or confidential client information.,Reese Yablonski,Closed,ERIC-C-01016,Strong,Privacy Incident Triage,RCM-82420,Yes,Effective with Exceptions,N
Capital Markets Operations,Equity Settlements,Privacy Risk,Unauthorized Disclosure,High,Medium,People Failure,Lack of diligence,ERIC-R-05042,Risk of unauthorized disclosure of personal or confidential client information.,Sasha Linwood,Active,ERIC-C-01016,Strong,Privacy Incident Triage,RCM-82420,Yes,Adequate,N
Private Banking Operations,Discretionary Portfolio Ops,Third Party Risk,Vendor Performance,Low,Low,Third Party Failure,Third party supplier,ERIC-R-05043,Risk arising from dependence on external vendors or service providers.,Quinn Velazquez,Active,ERIC-C-01017,Strong,Third-Party Performance Monitoring,RCM-63264,No,Effective,N
Asset Servicing,Voluntary Events,Financial Reporting Risk,Journal Entry Errors,High,Medium,Process Failure,Inadequate execution of processes,ERIC-R-05044,Risk that financial records or reports are materially misstated.,Remy Nakatani,Active,ERIC-C-01012,Strong,Journal Entry Approval,RCM-23104,Yes,Effective with Exceptions,Y
Asset Servicing,Voluntary Events,Financial Reporting Risk,Journal Entry Errors,High,Medium,Process Failure,Inadequate execution of processes,ERIC-R-05044,Risk that financial records or reports are materially misstated.,Sage Xanthopoulos,Active,ERIC-C-01011,Needs Improvement,Control Account Daily Reconciliation,RCM-44179,No,Effective with Exceptions,Y
Private Banking Operations,Lending Operations,Processing & Execution Risk,Manual Processing Errors,Medium,Medium,System Failure,Technology failure,ERIC-R-05045,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Reese Eastwick,Active,ERIC-C-01010,Strong,Fee Billing Calculation Review,RCM-40828,No,Effective,Y
Private Banking Operations,Lending Operations,Processing & Execution Risk,Manual Processing Errors,Medium,Medium,System Failure,Technology failure,ERIC-R-05045,"Risk that processing errors result in incorrect client positions, delayed settlement, or financial loss.",Sage Quintero,Active,ERIC-C-01005,Adequate,Trade Confirmation Match,RCM-66498,Yes,Effective with Exceptions,Y
Private Banking Operations,Lending Operations,Third Party Risk,Subcontractor Risk,Low,Low,Third Party Failure,Third party supplier,ERIC-R-05046,Risk arising from dependence on external vendors or service providers.,Hayden Eastwick,Active,ERIC-C-01017,Adequate,Third-Party Performance Monitoring,RCM-63264,No,Effective with Exceptions,N
Asset Servicing,Mandatory Events,Tax Risk,Treaty Application,Medium,Low,Process Failure,Ineffective development or testing,ERIC-R-05047,"Risk of incorrect tax calculation, reporting, or remittance.",Sage Okafor,Active,ERIC-C-01021,Strong,Withholding Tax Calculation,RCM-89457,Yes,Effective,N
Asset Servicing,Mandatory Events,Tax Risk,Treaty Application,Medium,Low,Process Failure,Ineffective development or testing,ERIC-R-05047,"Risk of incorrect tax calculation, reporting, or remittance.",Parker Devereux,Active,ERIC-C-01020,Adequate,FATCA/CRS Indicia Review,RCM-13617,No,Effective,N
Wealth Management Operations,Fee Billing & Reporting,Fraud Risk,Internal Fraud,High,Medium,People Failure,Intentional employee misdeeds,ERIC-R-05048,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Hayden Quintero,Active,ERIC-C-01004,Adequate,Wire Payment Maker-Checker,RCM-53309,Yes,Effective with Exceptions,Y
