ERIC Control Number,Control Name,Control Objective,Control Description,Control Owner,Contact,Control Status,ORMS Business Unit Lvl 1,ORMS Business Unit Lvl 2,Key Control,Risk,RCM Control Identifier,RCM Control Flag,SOX Control,Regulation,Regulation Lead,Control Effectiveness,Control Effectiveness Due Date,Control Type,Control Method
ERIC-C-01011,Control Account Daily Reconciliation,To ensure control account daily reconciliation are completed accurately and timely to mitigate financial reporting risk.,Control Account Daily Reconciliation performed monthly by Reconciliations team using TradeLink. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Team Lead.,Reese Holloway,Phoenix Rasmussen,Published,Wealth Management Operations,Reconciliations,No,Financial Reporting Risk,RCM-44179,RCM Plus,Y,Privacy Act,Reese Rasmussen,Effective,2027-06-25,Detective,Combination
ERIC-C-01012,Journal Entry Approval,To ensure journal entry approval are completed accurately and timely to mitigate financial reporting risk.,Journal Entry Approval performed daily by Reconciliations team using Bloomberg. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Operations Manager.,Riley Marchetti,Reese Eastwick,Published,Wealth Management Operations,Reconciliations,Yes,Financial Reporting Risk,RCM-23104,RCM Plus,Y,Reg BI,Skyler Linwood,Not Yet Rated,2026-12-10,Preventative,Manual
ERIC-C-01013,Physical Security Count,To ensure physical security count are completed accurately and timely to mitigate fraud risk.,Physical Security Count performed daily by Physical Certificates team using SharePoint. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Team Lead.,Remy Iversen,Rowan Trevelyan,Published,Asset Servicing,Physical Certificates,No,Fraud Risk,RCM-95717,RCM Only,N,FATCA,Sage Devereux,Not Yet Rated,2026-06-24,Detective,Manual
ERIC-C-01014,Vault Access Authorization,To ensure vault access authorization are completed accurately and timely to mitigate fraud risk.,Vault Access Authorization performed quarterly by Physical Certificates team using REOR. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Team Lead.,Kendall Marchetti,Rowan Iversen,Published,Asset Servicing,Physical Certificates,Yes,Fraud Risk,RCM-89276,RCM Only,Y,SOX,Quinn Asher,Not Yet Rated,2026-07-20,Preventative,Combination
ERIC-C-01015,Regulatory Reporting Sign-off,To ensure regulatory reporting sign-off are completed accurately and timely to mitigate regulatory compliance risk.,Regulatory Reporting Sign-off performed quarterly by Tax Operations team using Broadridge. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Team Lead.,Parker Devereux,Riley Marchetti,Published,Wealth Management Operations,Tax Operations,Yes,Regulatory Compliance Risk,RCM-27146,Non RCM,N,SOX,Parker Yablonski,Effective with Exceptions,2026-11-25,Preventative,Manual
ERIC-C-01016,Privacy Incident Triage,To ensure privacy incident triage are completed accurately and timely to mitigate privacy risk.,Privacy Incident Triage performed daily by Client Onboarding team using DSNet. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Risk Lead.,Riley Bramwell,Remy Iversen,Published,Wealth Management Operations,Client Onboarding,Yes,Privacy Risk,RCM-82420,RCM Only,N,MiFID II,Hayden Quintero,Not Yet Rated,2027-04-28,Detective,Manual
ERIC-C-01017,Third-Party Performance Monitoring,To ensure third-party performance monitoring are completed accurately and timely to mitigate third party risk.,Third-Party Performance Monitoring performed weekly by Custody Services team using SharePoint. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Team Lead.,Skyler Trevelyan,Casey Rasmussen,Published,Private Banking Operations,Custody Services,No,Third Party Risk,RCM-63264,Non RCM,N,CRM2,Drew Stensgaard,Effective,2027-03-17,Detective,Manual
ERIC-C-01018,IT Access Quarterly Review,To ensure it access quarterly review are completed accurately and timely to mitigate information technology risk.,IT Access Quarterly Review performed daily by Account Maintenance team using OperationsHub. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Operations Manager.,Taylor Underhill,Hayden Rasmussen,Published,Direct Investing Operations,Account Maintenance,No,Information Technology Risk,RCM-97806,RCM Plus,N,FINRA Rule 4530,Hayden Marchetti,Adequate,2026-07-06,Detective,Combination
ERIC-C-01019,BCP Annual Test,To ensure bcp annual test are completed accurately and timely to mitigate business continuity risk.,BCP Annual Test performed daily by Mandatory Events team using REOR. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Risk Lead.,Morgan Devereux,Reese Caldera,Published,Asset Servicing,Mandatory Events,No,Business Continuity Risk,RCM-39831,RCM Only,N,AML/ATF,Emerson Trevelyan,Effective,2026-07-19,Detective,Manual
ERIC-C-01020,FATCA/CRS Indicia Review,To ensure fatca/crs indicia review are completed accurately and timely to mitigate tax risk.,FATCA/CRS Indicia Review performed monthly by Tax Operations team using Broadridge. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Risk Lead.,Hayden Eastwick,Hayden Marchetti,Published,Wealth Management Operations,Tax Operations,No,Tax Risk,RCM-13617,RCM Plus,N,IIROC Rule 1300,Reese Warburton,Ineffective,2026-09-11,Preventative,Manual
ERIC-C-01021,Withholding Tax Calculation,To ensure withholding tax calculation are completed accurately and timely to mitigate tax risk.,Withholding Tax Calculation performed daily by Tax Operations team using OperationsHub. Automated reconciliation with exception report. Evidence retained 3 years. Exceptions escalated to Risk Lead.,Emerson Trevelyan,Hayden Rasmussen,Published,Wealth Management Operations,Tax Operations,Yes,Tax Risk,RCM-89457,Non RCM,N,MiFID II,Hayden Eastwick,Effective,2026-03-07,Preventative,Automatic
ERIC-C-01022,Critical Date Report Pre-open,To ensure critical date report pre-open are completed accurately and timely to mitigate processing & execution risk.,Critical Date Report Pre-open performed monthly by Voluntary Events team using REOR. Maker-checker required. Evidence retained 7 years. Exceptions escalated to Operations Manager.,Riley Trevelyan,Reese Caldera,Published,Asset Servicing,Voluntary Events,No,Processing & Execution Risk,RCM-97062,RCM Only,N,IIROC Rule 1300,Skyler Falconer,Effective,2026-11-10,Preventative,Manual
ERIC-C-01023,Reorg Expiry 2BD Pre-Issuer Check,To ensure reorg expiry 2bd pre-issuer check are completed accurately and timely to mitigate processing & execution risk.,Reorg Expiry 2BD Pre-Issuer Check performed weekly by Voluntary Events team using REOR. Maker-checker required. Evidence retained 5 years. Exceptions escalated to Risk Lead.,Quinn Asher,Skyler Linwood,Published,Asset Servicing,Voluntary Events,No,Processing & Execution Risk,RCM-26683,RCM Only,Y,PIPEDA,Quinn Marchetti,Effective with Exceptions,2026-09-08,Preventative,Manual
ERIC-C-01024,Bond Maturity Cash Receipt Verify,To ensure bond maturity cash receipt verify are completed accurately and timely to mitigate processing & execution risk.,Bond Maturity Cash Receipt Verify performed quarterly by Mandatory Events team using SharePoint. Maker-checker required. Evidence retained 7 years. Exceptions escalated to Team Lead.,Hayden Underhill,Morgan Devereux,Published,Asset Servicing,Mandatory Events,Yes,Processing & Execution Risk,RCM-86019,RCM Only,N,AML/ATF,Casey Okafor,Effective with Exceptions,2026-07-21,Detective,Combination
ERIC-C-01025,Physical Cert Chain-of-Custody Log,To ensure physical cert chain-of-custody log are completed accurately and timely to mitigate fraud risk.,Physical Cert Chain-of-Custody Log performed weekly by Physical Certificates team using SharePoint. Maker-checker required. Evidence retained 3 years. Exceptions escalated to Team Lead.,Riley Bramwell,Remy Nakatani,Published,Asset Servicing,Physical Certificates,No,Fraud Risk,RCM-22240,RCM Only,N,Privacy Act,Sasha Asher,Effective,2026-09-21,Detective,Manual
