Event ID,Impact ID,Day of GL Date,Day of Creation Date,Impact Type,Characteristic of Impact,Impacted Business Line Tier 2,Primary Responsible Business Line Tier 2,Risk Classification Level 1,Root Cause Level 2,Summary Description,"Impact Amount, CAD"
LE_10000022,LI_20000022,2024-03-10,2024-03-26,Loss,Reputational Impact,Derivatives Operations,Derivatives Operations,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,0.0
LE_10000023,LI_20000023,2024-02-14,2024-03-05,Gain,Client Billing Error,Shareholder Services,Shareholder Services,Information Technology Risk,Inappropriate access granted or authorized access not granted,Former employee retained REOR access post-termination.,4379.32
LE_10000024,LI_20000024,2026-01-20,2026-02-10,Timing Errors,P&L Loss (no GL entry),Lending Operations,Lending Operations,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,696.16
LE_10000025,LI_20000025,2024-12-26,2025-01-12,Timing Errors,P&L Loss (no GL entry),Reconciliations,Reconciliations,Third Party Risk,Third party supplier,Third party transfer agent confirmed wrong share count.,0.0
LE_10000026,LI_20000026,2025-10-08,2025-10-13,Other Incidents,Near Miss,Derivatives Operations,Derivatives Operations,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,0.0
LE_10000027,LI_20000027,2024-07-25,2024-07-26,Timing Errors,Near Miss,Tax Operations,Tax Operations,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,0.0
LE_10000028,LI_20000028,2025-02-11,2025-02-28,Other Incidents,Loss of Control (not recorded in P&L),Client Onboarding,Client Onboarding,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,0.0
LE_10000029,LI_20000029,2026-03-10,2026-03-11,Timing Errors,Regulatory Fine,Discretionary Portfolio Ops,Discretionary Portfolio Ops,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,0.0
LE_10000030,LI_20000030,2025-03-26,2025-04-07,Loss,P&L Loss (no GL entry),Lending Operations,Lending Operations,Third Party Risk,Third party supplier,Third party transfer agent confirmed wrong share count.,10030.54
LE_10000031,LI_20000031,2026-03-31,2026-04-02,Timing Errors,P&L Loss (no GL entry),Derivatives Operations,Derivatives Operations,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,1043.36
LE_10000032,LI_20000032,2024-03-22,2024-04-01,Loss,Legal Settlement,Self-Directed Trading Ops,Self-Directed Trading Ops,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",DTC mandatory event misrouted to voluntary team.,8064.23
LE_10000033,LI_20000033,2024-12-25,2025-01-08,Loss,Regulatory Impact,Lending Operations,Lending Operations,Processing & Execution Risk,Inadequate execution of processes,Critical Date Report not pulled; near-expiry event missed.,17259.63
LE_10000034,LI_20000034,2025-10-16,2025-10-17,Other Incidents,Provision (non-legal),Custody Services,Custody Services,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Wire instruction duplicated due to staff error; recovered same day.,0.0
LE_10000035,LI_20000035,2024-05-26,2024-06-14,Loss,Regulatory Impact,Account Maintenance,Account Maintenance,Processing & Execution Risk,Technology failure,FX rate stale at booking; client billed at off-market rate.,23822.1
LE_10000036,LI_20000036,2025-01-27,2025-02-14,Loss,Regulatory Fine,Self-Directed Trading Ops,Self-Directed Trading Ops,Processing & Execution Risk,Inadequate execution of processes,Critical Date Report not pulled; near-expiry event missed.,9189.9
LE_10000037,LI_20000037,2026-02-20,2026-02-22,Timing Errors,P&L Loss (no GL entry),Mandatory Events,Mandatory Events,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Wire instruction duplicated due to staff error; recovered same day.,0.0
LE_10000038,LI_20000038,2024-01-27,2024-02-01,Loss,Reputational Impact,FX Operations,FX Operations,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,0.0
LE_10000039,LI_20000039,2024-09-25,2024-10-03,Other Incidents,Legal Fees,Physical Certificates,Physical Certificates,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,0.0
LE_10000040,LI_20000040,2025-12-11,2025-12-26,Other Incidents,Provision (non-legal),Self-Directed Trading Ops,Self-Directed Trading Ops,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,0.0
LE_10000041,LI_20000041,2024-06-25,2024-07-09,Other Incidents,Near Miss,Trade Settlements,Trade Settlements,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,0.0
LE_10000042,LI_20000042,2024-11-03,2024-11-08,Loss,Legal Fees,Custody Services,Custody Services,Processing & Execution Risk,Technology failure,FX rate stale at booking; client billed at off-market rate.,7294.54
LE_10000043,LI_20000043,2024-08-30,2024-09-14,Loss,Legal Fees,FX Operations,FX Operations,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,19812.04
LE_10000044,LI_20000044,2025-07-18,2025-07-22,Gain,Near Miss,Custody Services,Custody Services,Processing & Execution Risk,Inadequate execution of processes,Trade booked to incorrect client account; corrected next day after recon break.,0.0
LE_10000045,LI_20000045,2026-02-26,2026-03-11,Loss,Regulatory Impact,Corporate Actions,Corporate Actions,Money Laundering Risk,Lack of diligence,Sanctions hit not escalated within SLA.,13166.11
LE_10000046,LI_20000046,2024-03-16,2024-03-30,Other Incidents,Reputational Impact,Trade Settlements,Trade Settlements,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,0.0
LE_10000047,LI_20000047,2024-05-12,2024-05-25,Loss,Loss of Control (not recorded in P&L),Voluntary Events,Voluntary Events,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,4589.98
LE_10000048,LI_20000048,2025-12-27,2026-01-03,Loss,Provision (non-legal),Corporate Actions,Corporate Actions,Information Technology Risk,Technology failure,System outage delayed end-of-day journal posting.,8100.39
LE_10000049,LI_20000049,2025-07-18,2025-07-26,Timing Errors,Provision (non-legal),Voluntary Events,Voluntary Events,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,0.0
LE_10000050,LI_20000050,2025-08-17,2025-08-21,Loss,Loss of Control (not recorded in P&L),Custody Services,Custody Services,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,14815.62
LE_10000051,LI_20000051,2024-03-24,2024-03-25,Loss,Stakeholder Impact,Shareholder Services,Shareholder Services,Privacy Risk,Clerical errors or miscommunication of instructions,Privacy breach: statement mailed to incorrect address.,0.0
LE_10000052,LI_20000052,2025-10-16,2025-10-16,Timing Errors,Stakeholder Impact,Voluntary Events,Voluntary Events,Third Party Risk,Third party supplier,Third party transfer agent confirmed wrong share count.,0.0
LE_10000053,LI_20000053,2026-04-04,2026-04-25,Gain,Provision (non-legal),Voluntary Events,Voluntary Events,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,2466.43
LE_10000054,LI_20000054,2025-04-20,2025-04-26,Loss,Write-off,Lending Operations,Lending Operations,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,10419.76
LE_10000055,LI_20000055,2024-12-19,2024-12-31,Loss,Regulatory Impact,Mandatory Events,Mandatory Events,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,24701.18
LE_10000056,LI_20000056,2024-05-05,2024-05-13,Gain,P&L Loss (no GL entry),Custody Services,Custody Services,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,1284.52
LE_10000057,LI_20000057,2025-03-04,2025-03-11,Loss,Provision (non-legal),Equity Settlements,Equity Settlements,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,21610.89
LE_10000058,LI_20000058,2025-06-11,2025-06-25,Timing Errors,Regulatory Fine,Custody Services,Custody Services,Privacy Risk,Clerical errors or miscommunication of instructions,Privacy breach: statement mailed to incorrect address.,1001.55
LE_10000059,LI_20000059,2024-08-08,2024-08-26,Loss,Client Billing Error,Lending Operations,Lending Operations,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,24168.83
LE_10000060,LI_20000060,2025-04-26,2025-05-05,Loss,Stakeholder Impact,Corporate Actions,Corporate Actions,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,0.0
LE_10000061,LI_20000061,2025-01-09,2025-01-10,Loss,Provision (non-legal),Corporate Actions,Corporate Actions,Information Technology Risk,Inappropriate access granted or authorized access not granted,Former employee retained REOR access post-termination.,19108.23
LE_10000062,LI_20000062,2024-03-16,2024-03-28,Gain,P&L Loss (no GL entry),Reconciliations,Reconciliations,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,2810.79
LE_10000063,LI_20000063,2024-04-09,2024-04-21,Loss,Stakeholder Impact,Statements & Confirms,Statements & Confirms,Information Technology Risk,Technology failure,System outage delayed end-of-day journal posting.,0.0
LE_10000064,LI_20000064,2024-07-22,2024-08-10,Other Incidents,Legal Settlement,Custody Services,Custody Services,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,0.0
LE_10000065,LI_20000065,2025-04-30,2025-05-16,Loss,Write-off,Statements & Confirms,Statements & Confirms,Information Technology Risk,Technology failure,System outage delayed end-of-day journal posting.,8359.37
LE_10000066,LI_20000066,2025-09-23,2025-10-02,Loss,Stakeholder Impact,Equity Settlements,Equity Settlements,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,0.0
LE_10000067,LI_20000067,2025-07-30,2025-08-08,Timing Errors,Loss of Control (not recorded in P&L),Custody Services,Custody Services,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,0.0
LE_10000068,LI_20000068,2026-03-26,2026-04-15,Loss,Legal Fees,Client Onboarding,Client Onboarding,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,14613.37
LE_10000069,LI_20000069,2025-08-14,2025-08-21,Loss,Reputational Impact,Physical Certificates,Physical Certificates,Processing & Execution Risk,Inadequate execution of processes,Trade booked to incorrect client account; corrected next day after recon break.,0.0
LE_10000070,LI_20000070,2025-01-24,2025-01-28,Loss,Loss of Control (not recorded in P&L),Reconciliations,Reconciliations,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",DTC mandatory event misrouted to voluntary team.,15512.41
LE_10000071,LI_20000071,2024-01-20,2024-02-03,Gain,Regulatory Impact,Fixed Income Settlements,Fixed Income Settlements,Processing & Execution Risk,Inadequate execution of processes,Critical Date Report not pulled; near-expiry event missed.,638.49
LE_10000072,LI_20000072,2025-04-27,2025-04-28,Loss,Regulatory Fine,Self-Directed Trading Ops,Self-Directed Trading Ops,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,19385.56
LE_10000073,LI_20000073,2025-01-20,2025-01-30,Gain,Reputational Impact,Equity Settlements,Equity Settlements,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,0.0
LE_10000074,LI_20000074,2025-11-28,2025-12-18,Loss,P&L Loss (no GL entry),Statements & Confirms,Statements & Confirms,Privacy Risk,Clerical errors or miscommunication of instructions,Privacy breach: statement mailed to incorrect address.,21697.98
LE_10000075,LI_20000075,2024-10-31,2024-11-09,Loss,Regulatory Fine,Custody Services,Custody Services,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,7497.55
LE_10000076,LI_20000076,2026-01-08,2026-01-16,Loss,P&L Loss (no GL entry),Derivatives Operations,Derivatives Operations,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,23365.41
LE_10000077,LI_20000077,2024-12-19,2024-12-23,Timing Errors,Client Billing Error,Reconciliations,Reconciliations,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,795.12
LE_10000078,LI_20000078,2024-12-20,2025-01-03,Other Incidents,Legal Fees,Client Onboarding,Client Onboarding,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,0.0
LE_10000079,LI_20000079,2025-07-29,2025-08-06,Loss,Regulatory Fine,Custody Services,Custody Services,Third Party Risk,Third party supplier,Third party transfer agent confirmed wrong share count.,6814.76
LE_10000080,LI_20000080,2025-11-16,2025-12-02,Timing Errors,Regulatory Fine,Reconciliations,Reconciliations,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,0.0
LE_10000081,LI_20000081,2026-02-28,2026-03-04,Loss,P&L Loss (no GL entry),Fixed Income Settlements,Fixed Income Settlements,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Voluntary corporate action election missed cutoff.,2558.6
LE_10000082,LI_20000082,2024-10-21,2024-10-31,Loss,Near Miss,Mandatory Events,Mandatory Events,Processing & Execution Risk,Inadequate execution of processes,Trade booked to incorrect client account; corrected next day after recon break.,0.0
LE_10000083,LI_20000083,2024-02-08,2024-02-13,Timing Errors,Regulatory Fine,Corporate Actions,Corporate Actions,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,1449.0
LE_10000084,LI_20000084,2026-03-17,2026-04-01,Other Incidents,Client Billing Error,Fixed Income Settlements,Fixed Income Settlements,Fraud Risk,Accidental damage or disruption,Physical certificate misfiled in vault; located after audit.,0.0
LE_10000085,LI_20000085,2024-12-09,2024-12-18,Loss,Stakeholder Impact,Discretionary Portfolio Ops,Discretionary Portfolio Ops,Privacy Risk,Clerical errors or miscommunication of instructions,Privacy breach: statement mailed to incorrect address.,0.0
LE_10000086,LI_20000086,2024-07-16,2024-07-19,Loss,Legal Settlement,Shareholder Services,Shareholder Services,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,11727.12
LE_10000087,LI_20000087,2026-01-24,2026-02-03,Gain,Regulatory Impact,Derivatives Operations,Derivatives Operations,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,1012.38
LE_10000088,LI_20000088,2025-06-11,2025-06-21,Loss,Reputational Impact,Mandatory Events,Mandatory Events,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,0.0
LE_10000089,LI_20000089,2024-01-07,2024-01-15,Loss,Legal Settlement,Statements & Confirms,Statements & Confirms,Processing & Execution Risk,Technology failure,FX rate stale at booking; client billed at off-market rate.,23398.84
LE_10000090,LI_20000090,2026-01-10,2026-01-28,Timing Errors,P&L Loss (no GL entry),Derivatives Operations,Derivatives Operations,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,0.0
LE_10000091,LI_20000091,2024-11-10,2024-11-15,Loss,Regulatory Fine,Custody Services,Custody Services,Processing & Execution Risk,Inadequate execution of processes,Trade booked to incorrect client account; corrected next day after recon break.,2999.71
LE_10000092,LI_20000092,2025-09-21,2025-09-28,Timing Errors,Reputational Impact,Voluntary Events,Voluntary Events,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,0.0
LE_10000093,LI_20000093,2025-12-19,2026-01-05,Loss,Regulatory Impact,Derivatives Operations,Derivatives Operations,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Voluntary corporate action election missed cutoff.,9371.94
LE_10000094,LI_20000094,2024-03-24,2024-04-09,Timing Errors,Reputational Impact,Mandatory Events,Mandatory Events,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,0.0
LE_10000095,LI_20000095,2025-06-01,2025-06-07,Loss,Stakeholder Impact,Voluntary Events,Voluntary Events,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,0.0
LE_10000096,LI_20000096,2026-01-04,2026-01-22,Loss,Loss of Control (not recorded in P&L),Mandatory Events,Mandatory Events,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,17023.37
LE_10000097,LI_20000097,2025-04-12,2025-04-30,Loss,Write-off,Reconciliations,Reconciliations,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,12855.53
LE_10000098,LI_20000098,2026-04-16,2026-04-16,Timing Errors,Provision (non-legal),Physical Certificates,Physical Certificates,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Wire instruction duplicated due to staff error; recovered same day.,797.94
LE_10000099,LI_20000099,2024-03-02,2024-03-04,Loss,P&L Loss (no GL entry),Fixed Income Settlements,Fixed Income Settlements,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",DTC mandatory event misrouted to voluntary team.,13552.03
LE_10000100,LI_20000100,2025-10-23,2025-11-05,Loss,Legal Settlement,Client Onboarding,Client Onboarding,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,24459.42
LE_10000101,LI_20000101,2025-01-19,2025-01-21,Other Incidents,Client Billing Error,Account Maintenance,Account Maintenance,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,0.0
LE_10000102,LI_20000102,2025-07-04,2025-07-16,Timing Errors,P&L Loss (no GL entry),Mandatory Events,Mandatory Events,Processing & Execution Risk,Inadequate execution of processes,Critical Date Report not pulled; near-expiry event missed.,0.0
LE_10000103,LI_20000103,2026-01-06,2026-01-23,Timing Errors,Write-off,Equity Settlements,Equity Settlements,Information Technology Risk,Technology failure,System outage delayed end-of-day journal posting.,931.38
LE_10000104,LI_20000104,2024-06-07,2024-06-15,Timing Errors,Regulatory Fine,Physical Certificates,Physical Certificates,Fraud Risk,Accidental damage or disruption,Physical certificate misfiled in vault; located after audit.,0.0
LE_10000105,LI_20000105,2024-01-17,2024-01-24,Timing Errors,Client Billing Error,Corporate Actions,Corporate Actions,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,1873.11
LE_10000106,LI_20000106,2025-12-21,2025-12-22,Gain,Near Miss,Corporate Actions,Corporate Actions,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,0.0
LE_10000107,LI_20000107,2024-02-27,2024-03-02,Loss,Loss of Control (not recorded in P&L),Fee Billing & Reporting,Fee Billing & Reporting,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Voluntary corporate action election missed cutoff.,21600.07
LE_10000108,LI_20000108,2026-03-02,2026-03-23,Timing Errors,Regulatory Impact,Discretionary Portfolio Ops,Discretionary Portfolio Ops,Information Technology Risk,Technology failure,System outage delayed end-of-day journal posting.,1159.17
LE_10000109,LI_20000109,2025-06-17,2025-06-24,Other Incidents,Reputational Impact,FX Operations,FX Operations,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,0.0
LE_10000110,LI_20000110,2025-10-03,2025-10-24,Loss,Stakeholder Impact,Lending Operations,Lending Operations,Fraud Risk,Accidental damage or disruption,Physical certificate misfiled in vault; located after audit.,0.0
LE_10000111,LI_20000111,2026-03-15,2026-03-31,Loss,P&L Loss (no GL entry),Physical Certificates,Physical Certificates,Fraud Risk,Accidental damage or disruption,Physical certificate misfiled in vault; located after audit.,16800.0
LE_10000112,LI_20000112,2024-09-03,2024-09-10,Loss,Client Billing Error,Account Maintenance,Account Maintenance,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,13471.31
LE_10000113,LI_20000113,2025-02-26,2025-03-11,Other Incidents,Loss of Control (not recorded in P&L),Derivatives Operations,Derivatives Operations,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,0.0
LE_10000114,LI_20000114,2025-04-05,2025-04-16,Loss,Provision (non-legal),Mandatory Events,Mandatory Events,Information Technology Risk,Inappropriate access granted or authorized access not granted,Former employee retained REOR access post-termination.,16185.31
LE_10000115,LI_20000115,2024-03-15,2024-03-21,Loss,Client Billing Error,Mandatory Events,Mandatory Events,Processing & Execution Risk,Technology failure,FX rate stale at booking; client billed at off-market rate.,15092.91
LE_10000116,LI_20000116,2024-01-16,2024-01-22,Loss,Regulatory Fine,Shareholder Services,Shareholder Services,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Cheque deposit posted to wrong control account.,8357.46
LE_10000117,LI_20000117,2024-09-05,2024-09-24,Other Incidents,Near Miss,Tax Operations,Tax Operations,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,0.0
LE_10000118,LI_20000118,2024-11-25,2024-12-04,Other Incidents,Loss of Control (not recorded in P&L),Derivatives Operations,Derivatives Operations,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,0.0
LE_10000119,LI_20000119,2025-06-09,2025-06-24,Gain,Provision (non-legal),Statements & Confirms,Statements & Confirms,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,1381.65
LE_10000120,LI_20000120,2025-02-27,2025-02-28,Loss,P&L Loss (no GL entry),Tax Operations,Tax Operations,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,9299.09
LE_10000121,LI_20000121,2025-03-03,2025-03-12,Loss,Loss of Control (not recorded in P&L),Equity Settlements,Equity Settlements,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,14499.62
LE_10000122,LI_20000122,2025-11-01,2025-11-22,Loss,Stakeholder Impact,FX Operations,FX Operations,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,0.0
LE_10000123,LI_20000123,2026-01-27,2026-02-11,Other Incidents,Reputational Impact,Lending Operations,Lending Operations,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,0.0
LE_10000124,LI_20000124,2025-07-09,2025-07-29,Loss,Regulatory Impact,FX Operations,FX Operations,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,4641.99
LE_10000125,LI_20000125,2026-02-21,2026-02-21,Timing Errors,Legal Fees,Entitlements,Entitlements,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Wire instruction duplicated due to staff error; recovered same day.,1339.75
LE_10000126,LI_20000126,2025-01-17,2025-01-18,Loss,Legal Settlement,Equity Settlements,Equity Settlements,Fraud Risk,Accidental damage or disruption,Physical certificate misfiled in vault; located after audit.,404013.04
LE_10000127,LI_20000127,2025-07-18,2025-07-31,Timing Errors,Write-off,Physical Certificates,Physical Certificates,Money Laundering Risk,Lack of diligence,Sanctions hit not escalated within SLA.,0.0
LE_10000128,LI_20000128,2026-04-12,2026-05-03,Timing Errors,Loss of Control (not recorded in P&L),Reconciliations,Reconciliations,Processing & Execution Risk,Inadequate execution of processes,Trade booked to incorrect client account; corrected next day after recon break.,44.11
