Process Flow ID,Process Name,Swimlane / Team,Step Name,System Used,Input Artifact,Output Artifact,Estimated Duration,SLA Target,Decision Point,Decision Outcome,Manual Step Flag,Macro Used Count,Bot Used Count,Control Point Flag,Handoff Team,Pain Point / Gap,Holistic Review Comment,Final Step Status
PF-090011,DI Client Notification,Voluntary CA Team,Step 6: Post,RCM,Email,Closed Ticket,42 min,1h,Y,Proceed,Y,2,0,Y,Branch Operations,Manual rekeying between Broadridge and REOR,Candidate for automation,Active
PF-090012,DI Client Notification,Reconciliations,Step 7: Notify,DSNet,Excel Worksheet,Approval Email,78 min,4h,Y,Hold,Y,1,0,N,Bond Desk,Manual rekeying between Broadridge and REOR,Consolidate two adjacent reviews,Under Review
PF-090013,DI Client Notification,Bond Desk,Step 8: Receive,ServiceLink,Depository Feed,Client Letter,54 min,4h,Y,N/A,Y,1,0,N,Technology,Letter mailing depends on overnight batch; weekend gap,Strengthen evidence retention,Active
PF-090014,DI Client Notification,Technology,Step 9: Review,OperationsHub,Cert Package,Updated Worksheet,54 min,1h,N,N/A,Y,2,0,N,Entitlements Team,,Reduce maker-checker friction with workflow tool,Under Review
PF-090015,DI Client Notification,Entitlements Team,Step 10: Enrich,Excel/VBA Macro,Reconciliation Report,DSNet Publication,42 min,24h,N,N/A,Y,1,0,Y,Tax Operations,No automated alerting if Critical Date Report not pulled,Consolidate two adjacent reviews,Under Review
PF-090016,DI Client Notification,Bond Desk,Step 11: Receive,RCM,Depository Feed,VES Entry,73 min,4h,N,N/A,Y,2,0,Y,Fee Billing,,Strengthen evidence retention,Active
PF-090017,Direct Investing Letter / Mailing Process,Entitlements Team,Step 1: Review,REOR,Email,Journal Entry,64 min,1h,N,N/A,Y,1,0,N,,Reconciliation tolerance not codified,Strengthen evidence retention,Under Review
PF-090018,Direct Investing Letter / Mailing Process,Reconciliations,Step 2: Publish,SharePoint,Bulletin PDF,REOR Entry,70 min,2h,N,N/A,Y,1,0,N,Tax Operations,,Strengthen evidence retention,Deprecated
PF-090019,Direct Investing Letter / Mailing Process,Tax Operations,Step 3: Match,Bloomberg,Depository Feed,Updated Worksheet,70 min,8h,N,N/A,N,0,2,N,Fee Billing,Manual rekeying between Broadridge and REOR,Consolidate two adjacent reviews,Deprecated
PF-090020,Direct Investing Letter / Mailing Process,Technology,Step 4: Archive,OperationsHub,Trade Blotter,Closed Ticket,63 min,24h,Y,Hold,N,0,2,Y,Technology,Letter mailing depends on overnight batch; weekend gap,Reduce maker-checker friction with workflow tool,Active
PF-090021,Direct Investing Letter / Mailing Process,Voluntary CA Team,Step 5: Notify,REOR,Email,Updated Worksheet,115 min,48h,Y,Proceed,N,0,2,N,Entitlements Team,,,Deprecated
PF-090022,Direct Investing Letter / Mailing Process,Reorg / Physical Cert,Step 6: Match,Excel/VBA Macro,Email,VES Entry,43 min,24h,N,N/A,N,0,0,N,Entitlements Team,,Candidate for automation,Active
PF-090023,Direct Investing Letter / Mailing Process,Reorg / Physical Cert,Step 7: Notify,Outlook Mailbox,Email,Closed Ticket,82 min,1h,N,N/A,Y,1,0,Y,Client Service,PTO coverage informal; mailbox sometimes unmonitored,Candidate for automation,Active
PF-090024,Direct Investing Letter / Mailing Process,Shareholder Services,Step 8: Approve,RCM,Client Letter Template,REOR Entry,34 min,1h,N,N/A,Y,0,0,N,Technology,Multiple systems lack integration; relies on Excel macros,Strengthen evidence retention,Under Review
PF-090025,Direct Investing Letter / Mailing Process,Voluntary CA Team,Step 9: Post,RCM,Reconciliation Report,VES Entry,37 min,48h,N,N/A,N,0,0,N,Reconciliations,Multiple systems lack integration; relies on Excel macros,Replace macro with bot,Deprecated
PF-090026,Direct Investing Letter / Mailing Process,Fee Billing,Step 10: Review,Outlook Mailbox,Client Letter Template,REOR Entry,11 min,2h,Y,Hold,Y,0,0,N,Reorg / Physical Cert,Vendor portal session timeouts cause rework,Strengthen evidence retention,Under Review
PF-090027,Direct Investing Letter / Mailing Process,Bond Desk,Step 11: Notify,DSNet,Cert Package,Closed Ticket,102 min,24h,N,N/A,Y,0,0,Y,Entitlements Team,Multiple systems lack integration; relies on Excel macros,,Under Review
PF-090028,Fee Summary Letter,Bond Desk,Step 1: Review,TradeLink,Client Letter Template,REOR Entry,119 min,24h,Y,Hold,Y,2,0,N,Voluntary CA Team,No automated alerting if Critical Date Report not pulled,,Active
PF-090029,Fee Summary Letter,Bond Desk,Step 2: Reconcile,SharePoint,Cert Package,DSNet Publication,62 min,1h,N,N/A,N,0,1,N,Client Service,Manual rekeying between Broadridge and REOR,Candidate for automation,Deprecated
PF-090030,Fee Summary Letter,Entitlements Team,Step 3: Review,SharePoint,Bulletin PDF,Closed Ticket,37 min,2h,N,N/A,Y,0,0,Y,Fee Billing,No automated alerting if Critical Date Report not pulled,Replace macro with bot,Active
PF-090031,Fee Summary Letter,Branch Operations,Step 4: Approve,Excel/VBA Macro,Reconciliation Report,DSNet Publication,88 min,2h,Y,Escalate,Y,2,0,N,Mandatory CA Team,,Candidate for automation,Under Review
PF-090032,Fee Summary Letter,Mandatory CA Team,Step 5: Reconcile,ServiceLink,Excel Worksheet,Journal Entry,32 min,8h,N,N/A,N,0,0,Y,Mandatory CA Team,Letter mailing depends on overnight batch; weekend gap,,Active
PF-090033,Fee Summary Letter,Entitlements Team,Step 6: Escalate,OperationsHub,Cert Package,DTC Instruction,11 min,8h,N,N/A,Y,2,0,N,Mandatory CA Team,Manual journal approvals require physical sign-off,Candidate for automation,Deprecated
PF-090034,Fee Summary Letter,Reorg / Physical Cert,Step 7: Validate,TradeLink,Client Letter Template,Client Letter,9 min,2h,N,N/A,Y,1,0,N,Reconciliations,,Strengthen evidence retention,Under Review
PF-090035,Fee Summary Letter,Reconciliations,Step 8: Review,DSNet,Email,VES Entry,59 min,48h,N,N/A,Y,0,0,N,Branch Operations,Vendor portal session timeouts cause rework,,Deprecated
PF-090036,Annual Fee Letter,Technology,Step 1: Validate,CDS Bulletin Portal,Client Letter Template,DSNet Publication,32 min,1h,Y,Proceed,Y,0,0,N,Voluntary CA Team,Letter mailing depends on overnight batch; weekend gap,Consolidate two adjacent reviews,Deprecated
PF-090037,Annual Fee Letter,Technology,Step 2: Reconcile,RCM,Reconciliation Report,VES Entry,16 min,4h,N,N/A,N,0,1,N,Branch Operations,Manual journal approvals require physical sign-off,Consolidate two adjacent reviews,Active
PF-090038,Annual Fee Letter,Bond Desk,Step 3: Escalate,DSNet,Excel Worksheet,Approval Email,64 min,4h,N,N/A,Y,2,0,Y,Mandatory CA Team,Manual rekeying between Broadridge and REOR,Strengthen evidence retention,Deprecated
PF-090039,Annual Fee Letter,Branch Operations,Step 4: Validate,REOR,Cert Package,Approval Email,7 min,48h,N,N/A,Y,1,0,Y,Bond Desk,No automated alerting if Critical Date Report not pulled,Replace macro with bot,Active
PF-090040,Annual Fee Letter,Technology,Step 5: Match,Broadridge,Reconciliation Report,Approval Email,13 min,4h,Y,Escalate,Y,2,0,Y,Voluntary CA Team,,Replace macro with bot,Deprecated
PF-090041,Annual Fee Letter,Tax Operations,Step 6: Validate,Broadridge,Bulletin PDF,DTC Instruction,81 min,1h,Y,N/A,Y,1,0,N,Entitlements Team,Multiple systems lack integration; relies on Excel macros,Consolidate two adjacent reviews,Under Review
PF-090042,Annual Fee Letter,Mandatory CA Team,Step 7: Validate,Excel/VBA Macro,Depository Feed,Closed Ticket,91 min,4h,N,N/A,Y,0,0,N,Tax Operations,Multiple systems lack integration; relies on Excel macros,,Active
PF-090043,Annual Fee Letter,Technology,Step 8: Publish,DSNet,Client Letter Template,VES Entry,60 min,8h,N,N/A,Y,1,0,Y,Bond Desk,Reconciliation tolerance not codified,Strengthen evidence retention,Active
PF-090044,Annual Fee Letter,Fee Billing,Step 9: Publish,DTC PTS,Bulletin PDF,DSNet Publication,120 min,24h,N,N/A,Y,2,0,Y,Shareholder Services,No automated alerting if Critical Date Report not pulled,,Active
PF-090045,Annual Fee Letter,Voluntary CA Team,Step 10: Match,Outlook Mailbox,Depository Feed,DTC Instruction,65 min,2h,N,N/A,N,0,0,Y,Bond Desk,Manual journal approvals require physical sign-off,,Deprecated
PF-090046,Annual Fee Letter,Technology,Step 11: Archive,OperationsHub,Client Letter Template,VES Entry,86 min,8h,Y,Hold,N,0,0,N,Client Service,Vendor portal session timeouts cause rework,Strengthen evidence retention,Active
PF-090047,Annual Fee Letter,Fee Billing,Step 12: Post,JEFE,Reconciliation Report,DTC Instruction,69 min,4h,N,N/A,N,0,1,Y,Client Service,Multiple systems lack integration; relies on Excel macros,Candidate for automation,Under Review
PF-090048,CRM2 Annual Fee/Performance Report,Reconciliations,Step 1: Reconcile,OperationsHub,Email,DTC Instruction,7 min,2h,Y,Escalate,Y,1,0,N,Mandatory CA Team,Letter mailing depends on overnight batch; weekend gap,Reduce maker-checker friction with workflow tool,Active
PF-090049,CRM2 Annual Fee/Performance Report,Mandatory CA Team,Step 2: Escalate,Broadridge,Depository Feed,DSNet Publication,120 min,4h,Y,Reject,N,0,1,N,,Multiple systems lack integration; relies on Excel macros,Candidate for automation,Active
PF-090050,CRM2 Annual Fee/Performance Report,Entitlements Team,Step 3: Publish,Outlook Mailbox,Client Letter Template,Closed Ticket,87 min,24h,Y,Proceed,N,0,0,Y,Client Service,Reconciliation tolerance not codified,,Under Review
PF-090051,CRM2 Annual Fee/Performance Report,Voluntary CA Team,Step 4: Post,CDS Bulletin Portal,Client Letter Template,Approval Email,33 min,24h,Y,N/A,N,0,1,N,Fee Billing,Reconciliation tolerance not codified,Consolidate two adjacent reviews,Active
PF-090052,CRM2 Annual Fee/Performance Report,Voluntary CA Team,Step 5: Escalate,SharePoint,Cert Package,Approval Email,50 min,1h,N,N/A,N,0,2,N,Voluntary CA Team,PTO coverage informal; mailbox sometimes unmonitored,,Deprecated
PF-090053,National Credit Debit Processing,Voluntary CA Team,Step 1: Review,DSNet,Cert Package,DTC Instruction,61 min,1h,Y,Proceed,Y,0,0,N,Entitlements Team,Vendor portal session timeouts cause rework,Strengthen evidence retention,Under Review
PF-090054,National Credit Debit Processing,Mandatory CA Team,Step 2: Review,Excel/VBA Macro,Cert Package,Updated Worksheet,19 min,8h,N,N/A,N,0,0,N,Voluntary CA Team,Multiple systems lack integration; relies on Excel macros,Replace macro with bot,Deprecated
PF-090055,National Credit Debit Processing,Branch Operations,Step 3: Archive,Outlook Mailbox,Reconciliation Report,DTC Instruction,108 min,48h,N,N/A,Y,0,0,N,Entitlements Team,Multiple systems lack integration; relies on Excel macros,Strengthen evidence retention,Under Review
PF-090056,National Credit Debit Processing,Bond Desk,Step 4: Escalate,Broadridge,Depository Feed,DSNet Publication,32 min,1h,N,N/A,Y,1,0,Y,,Manual rekeying between Broadridge and REOR,Candidate for automation,Under Review
PF-090057,National Credit Debit Processing,Technology,Step 5: Reconcile,Excel/VBA Macro,Depository Feed,Client Letter,5 min,4h,N,N/A,N,0,1,Y,Branch Operations,,Reduce maker-checker friction with workflow tool,Active
PF-090058,Trade Correction - A+/Access,Mandatory CA Team,Step 1: Approve,Outlook Mailbox,Trade Blotter,DTC Instruction,27 min,8h,N,N/A,Y,2,0,Y,Reconciliations,Manual rekeying between Broadridge and REOR,Consolidate two adjacent reviews,Under Review
PF-090059,Trade Correction - A+/Access,Entitlements Team,Step 2: Review,RCM,Trade Blotter,Journal Entry,106 min,24h,N,N/A,Y,0,0,N,Tax Operations,Manual rekeying between Broadridge and REOR,Replace macro with bot,Deprecated
PF-090060,Trade Correction - A+/Access,Mandatory CA Team,Step 3: Escalate,Broadridge,Client Letter Template,DSNet Publication,80 min,24h,N,N/A,Y,1,0,Y,Bond Desk,Letter mailing depends on overnight batch; weekend gap,,Active
PF-090061,Trade Correction - A+/Access,Reorg / Physical Cert,Step 4: Validate,Outlook Mailbox,Client Letter Template,Updated Worksheet,49 min,2h,N,N/A,Y,0,0,N,Entitlements Team,,Reduce maker-checker friction with workflow tool,Active
PF-090062,Trade Correction - A+/Access,Bond Desk,Step 5: Match,OperationsHub,Client Letter Template,REOR Entry,112 min,24h,Y,Hold,Y,2,0,Y,Tax Operations,Reconciliation tolerance not codified,Replace macro with bot,Active
PF-090063,Trade Correction - A+/Access,Reorg / Physical Cert,Step 6: Receive,OperationsHub,Trade Blotter,VES Entry,113 min,48h,Y,Escalate,Y,2,0,N,Client Service,,Consolidate two adjacent reviews,Under Review
PF-090064,Trade Correction - A+/Access,Fee Billing,Step 7: Reconcile,Excel/VBA Macro,Client Letter Template,DTC Instruction,22 min,48h,Y,Hold,Y,2,0,N,Reorg / Physical Cert,No automated alerting if Critical Date Report not pulled,,Deprecated
PF-090065,Trade Correction - A+/Access,Client Service,Step 8: Post,DSNet,Trade Blotter,Updated Worksheet,106 min,48h,N,N/A,Y,0,0,Y,,Vendor portal session timeouts cause rework,,Under Review
PF-090066,Bulk Trade Correction - PIM,Entitlements Team,Step 1: Escalate,REOR,Client Letter Template,DTC Instruction,69 min,1h,N,N/A,Y,0,0,N,Technology,Multiple systems lack integration; relies on Excel macros,Replace macro with bot,Active
PF-090067,Bulk Trade Correction - PIM,Voluntary CA Team,Step 2: Review,DSNet,Reconciliation Report,DSNet Publication,108 min,4h,Y,Hold,Y,0,0,Y,Entitlements Team,Reconciliation tolerance not codified,,Active
PF-090068,Bulk Trade Correction - PIM,Fee Billing,Step 3: Notify,JEFE,Bulletin PDF,Updated Worksheet,111 min,2h,N,N/A,Y,1,0,Y,Voluntary CA Team,Multiple systems lack integration; relies on Excel macros,,Active
PF-090069,Bulk Trade Correction - PIM,Mandatory CA Team,Step 4: Publish,OperationsHub,Cert Package,REOR Entry,109 min,2h,N,N/A,Y,2,0,Y,Mandatory CA Team,No automated alerting if Critical Date Report not pulled,Reduce maker-checker friction with workflow tool,Active
PF-090070,Bulk Trade Correction - PIM,Tax Operations,Step 5: Notify,Broadridge,Email,Client Letter,92 min,2h,N,N/A,Y,2,0,N,Tax Operations,Manual rekeying between Broadridge and REOR,Strengthen evidence retention,Active
PF-090071,Bulk Trade Correction - PIM,Client Service,Step 6: Validate,Excel/VBA Macro,Depository Feed,Journal Entry,45 min,2h,N,N/A,N,0,2,N,Tax Operations,Multiple systems lack integration; relies on Excel macros,Replace macro with bot,Deprecated
PF-090072,Bulk Trade Correction - PIM,Voluntary CA Team,Step 7: Approve,Outlook Mailbox,Depository Feed,Closed Ticket,86 min,48h,Y,Hold,N,0,1,N,Reconciliations,,Reduce maker-checker friction with workflow tool,Under Review
PF-090073,Bulk Trade Correction - PIM,Entitlements Team,Step 8: Post,Bloomberg,Cert Package,DSNet Publication,69 min,48h,N,N/A,N,0,2,N,Entitlements Team,Vendor portal session timeouts cause rework,Replace macro with bot,Active
PF-090074,Mutual Fund Trade Correction,Mandatory CA Team,Step 1: Match,DSNet,Email,Client Letter,35 min,8h,N,N/A,N,0,2,N,Fee Billing,No automated alerting if Critical Date Report not pulled,Consolidate two adjacent reviews,Deprecated
PF-090075,Mutual Fund Trade Correction,Technology,Step 2: Validate,OperationsHub,Client Letter Template,Closed Ticket,66 min,4h,N,N/A,Y,2,0,N,Reconciliations,Manual rekeying between Broadridge and REOR,Strengthen evidence retention,Deprecated
PF-090076,Mutual Fund Trade Correction,Entitlements Team,Step 3: Approve,REOR,Reconciliation Report,REOR Entry,67 min,2h,N,N/A,N,0,1,Y,Voluntary CA Team,PTO coverage informal; mailbox sometimes unmonitored,Reduce maker-checker friction with workflow tool,Deprecated
PF-090077,Mutual Fund Trade Correction,Fee Billing,Step 4: Post,TradeLink,Email,VES Entry,82 min,48h,N,N/A,Y,1,0,N,Client Service,No automated alerting if Critical Date Report not pulled,Replace macro with bot,Under Review
PF-090078,Mutual Fund Trade Correction,Fee Billing,Step 5: Post,SharePoint,Trade Blotter,Closed Ticket,110 min,4h,N,N/A,Y,2,0,N,Mandatory CA Team,,,Deprecated
PF-090079,Mutual Fund Trade Correction,Tax Operations,Step 6: Archive,REOR,Client Letter Template,Closed Ticket,49 min,4h,N,N/A,Y,2,0,N,Branch Operations,Letter mailing depends on overnight batch; weekend gap,Strengthen evidence retention,Active
PF-090080,Mutual Fund Trade Correction,Entitlements Team,Step 7: Archive,JEFE,Excel Worksheet,VES Entry,110 min,1h,N,N/A,Y,0,0,N,,PTO coverage informal; mailbox sometimes unmonitored,Strengthen evidence retention,Deprecated
PF-090081,Mutual Fund Trade Correction,Technology,Step 8: Publish,CDS Bulletin Portal,Cert Package,Updated Worksheet,21 min,8h,N,N/A,N,0,0,N,Mandatory CA Team,PTO coverage informal; mailbox sometimes unmonitored,Candidate for automation,Active
PF-090082,Mutual Fund Trade Correction,Entitlements Team,Step 9: Publish,JEFE,Email,Journal Entry,117 min,4h,N,N/A,Y,0,0,Y,Client Service,No automated alerting if Critical Date Report not pulled,Reduce maker-checker friction with workflow tool,Active
PF-090083,Mutual Fund Trade Correction,Entitlements Team,Step 10: Validate,Excel/VBA Macro,Bulletin PDF,Journal Entry,68 min,24h,N,N/A,Y,0,0,N,Entitlements Team,Multiple systems lack integration; relies on Excel macros,,Under Review
PF-090084,Mutual Fund Trade Correction,Branch Operations,Step 11: Archive,Outlook Mailbox,Depository Feed,DSNet Publication,88 min,4h,Y,Proceed,N,0,0,N,Technology,,,Active
PF-090085,Fixed Income Trade Correction,Branch Operations,Step 1: Review,Bloomberg,Reconciliation Report,VES Entry,58 min,24h,Y,N/A,Y,0,0,Y,Mandatory CA Team,Manual rekeying between Broadridge and REOR,Strengthen evidence retention,Under Review
PF-090086,Fixed Income Trade Correction,Shareholder Services,Step 2: Receive,Excel/VBA Macro,Cert Package,Client Letter,55 min,4h,N,N/A,Y,2,0,N,Mandatory CA Team,Letter mailing depends on overnight batch; weekend gap,,Active
PF-090087,Fixed Income Trade Correction,Voluntary CA Team,Step 3: Match,JEFE,Email,DTC Instruction,15 min,1h,Y,Hold,Y,0,0,Y,Mandatory CA Team,Reconciliation tolerance not codified,Strengthen evidence retention,Deprecated
PF-090088,Fixed Income Trade Correction,Mandatory CA Team,Step 4: Enrich,CDS Bulletin Portal,Client Letter Template,DTC Instruction,10 min,2h,N,N/A,Y,0,0,Y,Voluntary CA Team,Manual rekeying between Broadridge and REOR,,Under Review
PF-090089,Fixed Income Trade Correction,Tax Operations,Step 5: Publish,Bloomberg,Trade Blotter,DTC Instruction,31 min,8h,N,N/A,Y,1,0,N,Mandatory CA Team,Letter mailing depends on overnight batch; weekend gap,,Active
PF-090090,Fixed Income Trade Correction,Reconciliations,Step 6: Validate,Outlook Mailbox,Trade Blotter,Approval Email,109 min,2h,N,N/A,Y,1,0,N,Client Service,Manual rekeying between Broadridge and REOR,Consolidate two adjacent reviews,Under Review
PF-090091,Fixed Income Trade Correction,Technology,Step 7: Approve,CDS Bulletin Portal,Trade Blotter,Client Letter,9 min,8h,N,N/A,Y,1,0,N,Entitlements Team,Multiple systems lack integration; relies on Excel macros,Consolidate two adjacent reviews,Active
PF-090092,Fixed Income Trade Correction,Fee Billing,Step 8: Post,Bloomberg,Email,Journal Entry,95 min,48h,N,N/A,Y,1,0,N,,No automated alerting if Critical Date Report not pulled,Reduce maker-checker friction with workflow tool,Under Review
PF-090093,Fixed Income Trade Correction,Mandatory CA Team,Step 9: Validate,TradeLink,Email,DTC Instruction,20 min,24h,N,N/A,Y,1,0,N,Reconciliations,,Reduce maker-checker friction with workflow tool,Deprecated
PF-090094,Fixed Income Trade Correction,Bond Desk,Step 10: Reconcile,ServiceLink,Trade Blotter,Client Letter,98 min,48h,Y,Escalate,Y,1,0,N,Client Service,Reconciliation tolerance not codified,,Under Review
PF-090095,FX Trade Correction,Tax Operations,Step 1: Archive,Broadridge,Excel Worksheet,Updated Worksheet,95 min,8h,Y,Proceed,Y,2,0,N,Entitlements Team,,Consolidate two adjacent reviews,Deprecated
PF-090096,FX Trade Correction,Voluntary CA Team,Step 2: Enrich,ServiceLink,Depository Feed,Updated Worksheet,68 min,24h,Y,N/A,Y,1,0,Y,Entitlements Team,Letter mailing depends on overnight batch; weekend gap,Consolidate two adjacent reviews,Deprecated
PF-090097,FX Trade Correction,Branch Operations,Step 3: Reconcile,RCM,Reconciliation Report,Journal Entry,12 min,8h,N,N/A,Y,0,0,Y,Technology,,Candidate for automation,Deprecated
PF-090098,FX Trade Correction,Technology,Step 4: Approve,DTC PTS,Bulletin PDF,DSNet Publication,98 min,8h,Y,Reject,N,0,1,Y,Voluntary CA Team,PTO coverage informal; mailbox sometimes unmonitored,Candidate for automation,Active
PF-090099,FX Trade Correction,Client Service,Step 5: Reconcile,REOR,Cert Package,DSNet Publication,85 min,24h,N,N/A,Y,1,0,Y,Technology,PTO coverage informal; mailbox sometimes unmonitored,Strengthen evidence retention,Under Review
PF-090100,Critical Date Report Pull,Client Service,Step 1: Enrich,Bloomberg,Email,DTC Instruction,67 min,8h,N,N/A,Y,1,0,N,Reorg / Physical Cert,No automated alerting if Critical Date Report not pulled,Consolidate two adjacent reviews,Under Review
PF-090101,Critical Date Report Pull,Technology,Step 2: Archive,DTC PTS,Excel Worksheet,VES Entry,22 min,48h,N,N/A,N,0,0,N,Reorg / Physical Cert,Vendor portal session timeouts cause rework,Reduce maker-checker friction with workflow tool,Deprecated
PF-090102,Critical Date Report Pull,Fee Billing,Step 3: Publish,REOR,Reconciliation Report,DTC Instruction,95 min,1h,N,N/A,Y,2,0,N,Voluntary CA Team,Manual rekeying between Broadridge and REOR,Reduce maker-checker friction with workflow tool,Deprecated
PF-090103,Critical Date Report Pull,Reorg / Physical Cert,Step 4: Notify,DTC PTS,Trade Blotter,Closed Ticket,81 min,2h,N,N/A,N,0,1,Y,Mandatory CA Team,Vendor portal session timeouts cause rework,Candidate for automation,Under Review
PF-090104,Critical Date Report Pull,Fee Billing,Step 5: Publish,Outlook Mailbox,Client Letter Template,Journal Entry,62 min,2h,Y,Proceed,Y,2,0,Y,Mandatory CA Team,PTO coverage informal; mailbox sometimes unmonitored,Candidate for automation,Deprecated
PF-090105,Critical Date Report Pull,Bond Desk,Step 6: Notify,CDS Bulletin Portal,Cert Package,Journal Entry,30 min,1h,N,N/A,Y,0,0,Y,Entitlements Team,Multiple systems lack integration; relies on Excel macros,Reduce maker-checker friction with workflow tool,Under Review
PF-090106,Critical Date Report Pull,Reorg / Physical Cert,Step 7: Notify,Excel/VBA Macro,Reconciliation Report,DSNet Publication,95 min,8h,Y,Reject,Y,0,0,N,Technology,,Reduce maker-checker friction with workflow tool,Active
PF-090107,Critical Date Report Pull,Branch Operations,Step 8: Approve,DTC PTS,Client Letter Template,Approval Email,29 min,2h,N,N/A,N,0,0,Y,Entitlements Team,Manual journal approvals require physical sign-off,,Deprecated
PF-090108,Critical Date Report Pull,Tax Operations,Step 9: Post,RCM,Excel Worksheet,Journal Entry,10 min,1h,N,N/A,Y,1,0,N,Technology,No automated alerting if Critical Date Report not pulled,Replace macro with bot,Under Review
PF-090109,Critical Date Report Pull,Branch Operations,Step 10: Publish,OperationsHub,Reconciliation Report,Updated Worksheet,20 min,1h,Y,N/A,Y,1,0,N,,No automated alerting if Critical Date Report not pulled,,Deprecated
PF-090110,Critical Date Report Pull,Fee Billing,Step 11: Validate,Broadridge,Trade Blotter,Client Letter,38 min,8h,N,N/A,N,0,2,N,Bond Desk,Manual journal approvals require physical sign-off,,Deprecated
PF-090111,Critical Date Report Pull,Entitlements Team,Step 12: Publish,REOR,Reconciliation Report,Updated Worksheet,99 min,4h,Y,Proceed,Y,2,0,N,Technology,No automated alerting if Critical Date Report not pulled,Consolidate two adjacent reviews,Active
PF-090112,Bond Maturity Processing,Bond Desk,Step 1: Approve,JEFE,Depository Feed,Client Letter,108 min,1h,Y,Reject,Y,0,0,N,Tax Operations,PTO coverage informal; mailbox sometimes unmonitored,Strengthen evidence retention,Under Review
PF-090113,Bond Maturity Processing,Client Service,Step 2: Enrich,DSNet,Depository Feed,Approval Email,8 min,2h,Y,Proceed,Y,2,0,N,Reorg / Physical Cert,,Reduce maker-checker friction with workflow tool,Under Review
PF-090114,Bond Maturity Processing,Mandatory CA Team,Step 3: Escalate,RCM,Reconciliation Report,REOR Entry,23 min,24h,N,N/A,Y,2,0,Y,Shareholder Services,Manual rekeying between Broadridge and REOR,Consolidate two adjacent reviews,Active
PF-090115,Bond Maturity Processing,Voluntary CA Team,Step 4: Publish,SharePoint,Depository Feed,DTC Instruction,43 min,48h,N,N/A,Y,2,0,N,Reorg / Physical Cert,Manual rekeying between Broadridge and REOR,Replace macro with bot,Deprecated
PF-090116,Bond Maturity Processing,Entitlements Team,Step 5: Enrich,SharePoint,Client Letter Template,Closed Ticket,13 min,2h,N,N/A,N,0,2,N,Voluntary CA Team,Vendor portal session timeouts cause rework,Reduce maker-checker friction with workflow tool,Deprecated
PF-090117,Bond Maturity Processing,Fee Billing,Step 6: Post,REOR,Reconciliation Report,Approval Email,36 min,24h,Y,Proceed,N,0,1,N,Entitlements Team,Multiple systems lack integration; relies on Excel macros,Reduce maker-checker friction with workflow tool,Active
PF-090118,Optional Dividend Election Processing,Shareholder Services,Step 1: Approve,JEFE,Depository Feed,Client Letter,89 min,48h,N,N/A,Y,1,0,N,Fee Billing,No automated alerting if Critical Date Report not pulled,Candidate for automation,Under Review
